bf_cc,bf_bb,bf_qx,bf_zf,cc_bb,cc_qx,cc_zf,bb_qx,bb_zf,qx_zf
-712.0,145.0,307.42,-169.0,862.0,1024.42,548.0,456.42,-20.0,-370.9
-962.0,-115.0,-439.58,-916.0,1102.0,777.42,301.0,368.42,-108.0,-370.9
-1026.0,-180.0,318.88,-225.0,1101.0,1599.88,1056.0,1173.88,630.0,-281.08
-1036.0,-195.0,491.83,-235.0,1096.0,1782.83,1056.0,1356.83,630.0,-543.88
-1037.0,-196.0,488.85,-241.0,1096.0,1780.85,1051.0,1354.85,625.0,-548.89
-1037.0,-198.0,488.85,34.0,1094.0,1780.85,1326.0,1344.85,890.0,-280.91
-1037.0,-200.0,481.83,34.0,1092.0,1773.83,1326.0,1255.83,808.0,-281.92
-1039.0,-202.0,527.83,212.0,1092.0,1821.83,1506.0,1303.83,988.0,-108.94
-1037.0,-200.0,529.83,134.0,1092.0,1821.83,1426.0,1295.83,900.0,-188.94
-590.0,-203.0,550.07,133.0,557.0,1310.07,893.0,1317.07,900.0,-202.98
-590.0,-203.0,480.8,213.0,557.0,1240.8,973.0,1177.8,910.0,-145.97
-592.0,-205.0,573.98,211.0,557.0,1335.98,973.0,1270.98,908.0,-145.98
-593.0,-207.0,571.58,210.0,556.0,1334.58,973.0,1269.58,908.0,-147.99
-628.0,-237.0,529.56,175.0,561.0,1327.56,973.0,1201.56,847.0,-149.99
-668.0,-277.0,482.54,135.0,561.0,1320.54,973.0,1194.54,847.0,-150.0
-714.0,-323.0,459.0,89.0,561.0,1343.0,973.0,999.0,629.0,-161.24
-715.0,-324.0,427.52,88.0,561.0,1312.52,973.0,968.52,629.0,-164.23
-716.0,-323.0,419.5,87.0,563.0,1305.5,973.0,960.5,628.0,-166.22
-716.0,250.0,419.5,-8.0,1136.0,1305.5,878.0,234.5,-193.0,-262.22
-723.0,242.0,412.5,-15.0,1135.0,1305.5,878.0,244.5,-183.0,-262.22
-723.0,118.0,460.24,-15.0,1011.0,1353.24,878.0,792.24,317.0,-268.26
-723.0,38.0,460.24,-15.0,931.0,1353.24,878.0,650.24,175.0,-272.26
-568.0,193.0,608.22,0.0,931.0,1346.22,738.0,643.22,35.0,-420.27
-648.0,202.0,610.2,9.0,1005.0,1413.2,812.0,1211.2,610.0,-426.29
-649.0,200.0,609.2,8.0,1004.0,1413.2,812.0,1478.2,877.0,-426.29
-571.0,268.0,680.18,86.0,994.0,1406.18,812.0,1204.18,610.0,-428.3
-571.0,268.0,488.22,86.0,994.0,1214.22,812.0,1012.22,610.0,-388.0
-572.0,-575.0,487.22,85.0,152.0,1214.22,812.0,1275.22,873.0,-392.74
-574.0,-577.0,471.0,83.0,152.0,1200.0,812.0,1247.0,859.0,-341.56
-577.0,-578.0,470.0,82.0,101.0,1149.0,761.0,1247.0,859.0,-265.53
-578.0,477.0,469.0,81.0,1157.0,1149.0,761.0,1147.0,759.0,-265.53
-580.0,406.0,466.99,79.0,1088.0,1148.99,761.0,880.99,493.0,-257.38
-581.0,344.0,465.99,73.0,1027.0,1148.99,756.0,800.99,408.0,-262.38
-571.0,354.0,475.0,83.0,1027.0,1148.0,756.0,800.0,408.0,-228.96
-571.0,-375.0,475.0,78.0,298.0,1148.0,751.0,878.0,481.0,-233.96
-569.0,-373.0,463.93,70.0,298.0,1134.93,741.0,864.93,471.0,-250.98
-571.0,-375.0,476.0,68.0,298.0,1149.0,741.0,879.0,471.0,-251.98
-572.0,347.0,475.0,67.0,1021.0,1149.0,741.0,879.0,471.0,-259.01
-574.0,-379.0,473.0,-140.0,297.0,1149.0,536.0,879.0,266.0,-464.01
-609.0,283.0,438.0,-175.0,994.0,1149.0,536.0,782.0,169.0,-464.01
-711.0,-336.0,437.94,-167.0,577.0,1350.94,746.0,771.94,167.0,-472.04
-721.0,-396.0,427.94,-177.0,527.0,1350.94,746.0,860.94,256.0,-472.05
-713.0,-388.0,435.94,-174.0,527.0,1350.94,741.0,860.94,251.0,-416.53
-713.0,-393.0,434.94,31.0,522.0,1349.94,946.0,859.94,456.0,-214.52
-712.0,-392.0,435.94,-173.0,522.0,1349.94,741.0,843.94,235.0,-424.53
-712.0,-392.0,331.4,-173.0,522.0,1245.4,741.0,744.4,240.0,-426.53
-711.0,-391.0,332.4,-172.0,522.0,1245.4,741.0,753.4,249.0,-427.53
-713.0,-393.0,330.4,-204.0,522.0,1245.4,711.0,743.4,209.0,-460.53
-691.0,-359.0,364.4,-170.0,553.0,1276.4,742.0,743.4,209.0,-460.54
-689.0,-302.0,366.4,-173.0,608.0,1276.4,737.0,743.4,204.0,-385.0
-689.0,-367.0,359.37,-178.0,543.0,1269.37,732.0,746.37,209.0,-390.0
-689.0,-367.0,358.36,-183.0,543.0,1268.36,727.0,745.36,204.0,-393.02
-689.0,-367.0,292.56,-188.0,543.0,1202.56,722.0,679.56,199.0,-308.0
-688.0,-366.0,293.56,-187.0,543.0,1202.56,722.0,860.56,380.0,-308.0
-688.0,-367.0,293.56,-187.0,542.0,1202.56,722.0,858.56,378.0,-310.0
-688.0,-367.0,286.53,-192.0,542.0,1195.53,717.0,851.53,373.0,-316.98
-687.0,-367.0,286.52,-191.0,541.0,1194.52,717.0,850.52,373.0,-316.98
-687.0,-367.0,279.5,-196.0,541.0,1187.5,712.0,839.5,364.0,-321.98
-693.0,-367.0,256.52,-196.0,541.0,1164.52,712.0,816.52,364.0,-321.98
-665.0,-340.0,282.53,-173.0,540.0,1162.53,707.0,814.53,359.0,-318.0
-695.0,-370.0,123.0,-313.0,540.0,1033.0,597.0,689.0,253.0,-428.0
-695.0,-327.0,123.0,-318.0,583.0,1033.0,592.0,682.0,241.0,-419.35
-695.0,-327.0,122.99,-323.0,583.0,1032.99,587.0,681.99,236.0,-229.04
-695.0,-327.0,115.97,-328.0,583.0,1025.97,582.0,669.97,226.0,-246.7
-668.0,-302.0,141.97,-281.0,581.0,1024.97,602.0,671.97,249.0,-226.7
-668.0,-303.0,118.99,-281.0,580.0,1001.99,602.0,532.99,133.0,-226.71
-668.0,-308.0,101.78,-281.0,575.0,984.78,602.0,621.78,239.0,-218.08
-668.0,-308.0,94.76,-281.0,575.0,977.76,602.0,506.76,131.0,-224.04
-665.0,-310.0,97.76,-278.0,570.0,977.76,602.0,506.76,131.0,-224.04
-671.0,-310.0,157.0,-288.0,581.0,1048.0,603.0,565.0,120.0,-385.75
-671.0,-272.0,157.0,-288.0,619.0,1048.0,603.0,565.0,120.0,-386.75
-671.0,-272.0,157.0,-293.0,619.0,1048.0,598.0,565.0,115.0,-392.77
-736.0,-380.0,130.0,-238.0,576.0,1086.0,718.0,603.0,235.0,-330.0
-736.0,-380.0,130.0,-238.0,576.0,1086.0,718.0,592.0,224.0,-333.02
-736.0,-381.0,130.0,-238.0,575.0,1086.0,718.0,592.0,224.0,-333.02
-736.0,-380.0,130.0,-278.0,576.0,1086.0,678.0,592.0,184.0,-373.02
-736.0,-380.0,167.31,-278.0,576.0,1123.31,678.0,629.31,184.0,-408.0
-736.0,-380.0,255.57,-278.0,576.0,1211.57,678.0,717.57,184.0,-410.02
-736.0,-380.0,253.59,-213.0,576.0,1209.59,743.0,715.59,249.0,-353.04
-733.0,-380.0,272.16,-218.0,564.0,1216.16,726.0,693.16,203.0,-472.59
-733.0,-380.0,329.8,-218.0,564.0,1273.8,726.0,781.8,234.0,-367.08
-733.0,-380.0,328.8,-218.0,564.0,1272.8,726.0,748.8,202.0,-375.1
-733.0,-380.0,328.14,-248.0,564.0,1272.14,696.0,748.14,172.0,-411.12
-733.0,-380.0,328.14,-253.0,564.0,1272.14,691.0,748.14,167.0,-419.14
-733.0,-380.0,328.14,-168.0,564.0,1272.14,776.0,748.14,252.0,-335.14
-733.0,-380.0,328.14,-168.0,564.0,1272.14,776.0,748.14,252.0,-335.14
-733.0,-380.0,328.1,-173.0,564.0,1272.1,771.0,748.1,247.0,-356.18
-638.0,-381.0,325.1,-174.0,488.0,1194.1,695.0,736.1,237.0,-400.15
-637.0,-311.0,328.1,-178.0,557.0,1196.1,690.0,738.1,232.0,-405.16
-638.0,-312.0,327.1,-179.0,557.0,1196.1,690.0,738.1,232.0,-407.18
-638.0,-312.0,327.1,-179.0,557.0,1196.1,690.0,737.1,231.0,-408.19
-609.0,-283.0,359.4,-155.0,557.0,1199.4,685.0,740.4,226.0,-414.19
-574.0,-243.0,394.4,-120.0,562.0,1199.4,685.0,740.4,226.0,-415.21
-574.0,-243.0,394.4,-120.0,562.0,1199.4,685.0,740.4,226.0,-417.22
-572.0,-241.0,465.88,-113.0,562.0,1268.88,690.0,809.88,231.0,-412.23
-572.0,-242.0,463.91,-163.0,561.0,1266.91,640.0,797.91,171.0,-468.19
-572.0,-252.0,455.89,-163.0,551.0,1258.89,640.0,788.89,170.0,-349.61
-572.0,-252.0,448.87,-158.0,551.0,1251.87,645.0,781.87,175.0,-358.96
-415.0,-252.0,446.87,-248.0,522.0,1220.87,526.0,779.87,85.0,-664.9
-415.0,-252.0,448.9,-158.0,522.0,1222.9,616.0,781.9,175.0,-574.92
-416.0,-254.0,775.0,-159.0,521.0,1550.0,616.0,1109.0,175.0,-575.92
-416.0,-254.0,446.7,-114.0,521.0,1221.7,661.0,780.7,220.0,-537.95
-473.0,-311.0,406.15,-171.0,521.0,1238.15,661.0,846.15,269.0,-537.96
-633.0,-471.0,246.15,-326.0,521.0,1238.15,666.0,846.15,274.0,-532.96
-450.0,-298.0,723.67,-143.0,511.0,1532.67,666.0,1140.67,274.0,-540.98
-450.0,-289.0,721.68,-143.0,520.0,1530.68,666.0,1140.68,276.0,-565.97
-417.0,-256.0,754.67,-110.0,520.0,1530.67,666.0,1140.67,276.0,-572.0
-510.0,-387.0,659.65,-203.0,482.0,1528.65,666.0,1138.65,276.0,-573.0
-516.0,-387.0,657.66,-198.0,439.0,1483.66,628.0,1136.66,281.0,-590.98
-517.0,-388.0,654.64,-199.0,439.0,1481.64,628.0,1134.64,281.0,-598.01
-579.0,-410.0,590.64,-261.0,479.0,1479.64,628.0,1040.64,189.0,-605.03
-579.0,-389.0,588.62,-261.0,500.0,1477.62,628.0,894.62,45.0,-629.01
-580.0,-541.0,585.62,-247.0,349.0,1475.62,643.0,1131.62,299.0,-613.02
-581.0,-542.0,584.62,-248.0,349.0,1475.62,643.0,1131.62,299.0,-613.03
-581.0,-542.0,451.42,-248.0,349.0,1342.42,643.0,1013.42,314.0,-608.03
-581.0,-542.0,361.0,-53.0,349.0,1252.0,838.0,908.0,494.0,-413.03
-518.0,-479.0,646.61,10.0,349.0,1474.61,838.0,1130.61,494.0,-420.69
-700.0,-732.0,393.61,-243.0,260.0,1385.61,749.0,1130.61,494.0,-421.7
-701.0,-506.0,487.0,1.0,487.0,1480.0,994.0,1170.0,684.0,-206.71
-808.0,-613.0,380.0,-106.0,487.0,1480.0,994.0,1170.0,684.0,-208.73
-809.0,-685.0,379.0,-107.0,416.0,1480.0,994.0,1170.0,684.0,-210.73
-931.0,-267.0,257.0,-234.0,956.0,1480.0,989.0,1160.0,669.0,-243.69
-958.0,-784.0,230.0,-261.0,466.0,1480.0,989.0,1064.0,573.0,-243.69
-969.0,-795.0,317.29,-272.0,466.0,1578.29,989.0,1162.29,573.0,-244.69
-963.0,-789.0,322.29,-266.0,466.0,1577.29,989.0,1161.29,573.0,-246.69
-809.0,-150.0,500.35,-112.0,951.0,1601.35,989.0,1085.35,473.0,-249.69
-892.0,-233.0,416.76,-195.0,951.0,1600.76,989.0,866.76,255.0,-278.72
-925.0,-269.0,411.0,-228.0,948.0,1628.0,989.0,1111.0,472.0,-280.72
-570.0,-230.0,450.0,-189.0,698.0,1378.0,739.0,1111.0,472.0,-282.72
-546.0,-206.0,446.0,-165.0,698.0,1350.0,739.0,1083.0,472.0,-312.72
-546.0,-688.0,446.0,-165.0,216.0,1350.0,739.0,1145.0,534.0,-315.7
-528.0,-670.0,464.0,-147.0,216.0,1350.0,739.0,1145.0,534.0,-318.7
-494.0,-151.0,497.0,-113.0,701.0,1349.0,739.0,1083.0,473.0,-345.72
-495.0,-152.0,496.0,-114.0,701.0,1349.0,739.0,1133.0,523.0,-347.7
-494.0,-151.0,495.01,-113.0,701.0,1347.01,739.0,1130.01,522.0,-349.72
-493.0,-150.0,496.01,-142.0,701.0,1347.01,709.0,1130.01,492.0,-381.72
-460.0,-124.0,527.03,-109.0,694.0,1345.03,709.0,1128.03,492.0,-384.74
-460.0,-125.0,527.03,-114.0,693.0,1345.03,704.0,1119.03,478.0,-389.75
-396.0,-117.0,539.03,-102.0,687.0,1343.03,702.0,1128.03,487.0,-389.75
-402.0,-123.0,533.0,-108.0,687.0,1343.0,702.0,1123.0,482.0,-390.75
-396.0,-118.0,537.02,-102.0,686.0,1341.02,702.0,1121.02,482.0,-391.76
-396.0,-118.0,537.02,-102.0,686.0,1341.02,702.0,888.02,249.0,-393.78
-396.0,-118.0,537.02,-102.0,686.0,1341.02,702.0,1121.02,482.0,-394.79
-396.0,-118.0,537.02,-102.0,686.0,1341.02,702.0,1121.02,482.0,-395.81
-388.0,-110.0,543.04,-94.0,686.0,1339.04,702.0,1119.04,482.0,-395.81
-388.0,-110.0,543.0,-94.0,686.0,1339.0,702.0,1119.0,482.0,-398.4
-530.0,-252.0,321.16,-236.0,686.0,1259.16,702.0,1034.16,477.0,-400.38
-531.0,-253.0,320.16,-242.0,686.0,1259.16,697.0,1038.16,476.0,-405.4
-382.0,-104.0,469.16,-93.0,686.0,1259.16,697.0,1038.16,476.0,-407.41
-384.0,-106.0,467.16,-90.0,686.0,1259.16,702.0,1038.16,481.0,-405.39
-500.0,-222.0,351.16,-206.0,686.0,1259.16,702.0,1038.16,481.0,-408.39
-500.0,-222.0,351.16,-206.0,686.0,1259.16,702.0,1038.16,481.0,-410.39
-500.0,-222.0,521.57,-166.0,686.0,1429.57,742.0,1203.57,516.0,-371.39
-616.0,-338.0,404.57,-282.0,686.0,1428.57,742.0,1202.57,516.0,-374.39
-552.0,-301.0,441.57,-245.0,661.0,1403.57,717.0,1202.57,516.0,-374.39
-516.0,-265.0,478.56,-209.0,661.0,1404.56,717.0,973.56,286.0,-377.39
-516.0,-265.0,478.56,-209.0,661.0,1404.56,717.0,1198.56,511.0,-407.39
-516.0,-265.0,478.56,-209.0,661.0,1404.56,717.0,1197.56,510.0,-407.39
-473.0,-222.0,568.58,-166.0,661.0,1451.58,717.0,1243.58,509.0,-409.4
-473.0,-222.0,568.57,-166.0,661.0,1451.57,717.0,1243.57,509.0,-408.4
-474.0,-223.0,565.58,-162.0,661.0,1449.58,722.0,1241.58,514.0,-409.4
-540.0,-289.0,499.58,-28.0,661.0,1449.58,922.0,1240.58,713.0,-209.4
-662.0,-411.0,379.0,-150.0,661.0,1451.0,922.0,1242.0,713.0,-211.42
-662.0,-411.0,380.56,-150.0,661.0,1452.56,922.0,1238.56,708.0,-216.43
-662.0,-418.0,380.56,-150.0,654.0,1452.56,922.0,1238.56,708.0,-219.45
-661.0,-419.0,379.56,-151.0,635.0,1433.56,903.0,1237.56,707.0,-219.45
-661.0,-420.0,379.56,-151.0,634.0,1433.56,903.0,1237.56,707.0,-221.43
-616.0,-374.0,424.56,-106.0,635.0,1433.56,903.0,1237.56,707.0,-223.45
-616.0,-374.0,424.56,-106.0,635.0,1433.56,903.0,1232.56,702.0,-226.45
-545.0,-303.0,805.0,-35.0,635.0,1743.0,903.0,1542.0,702.0,-229.45
-617.0,-375.0,733.0,-107.0,635.0,1743.0,903.0,1541.0,701.0,-229.45
-790.0,-549.0,519.99,-280.0,634.0,1702.99,903.0,1499.99,700.0,-231.46
-790.0,-498.0,519.99,-300.0,685.0,1702.99,883.0,1499.99,680.0,-251.46
-790.0,-489.0,544.99,-300.0,694.0,1727.99,883.0,1042.99,198.0,-279.45
-785.0,-489.0,544.99,-300.0,733.0,1766.99,922.0,1042.99,198.0,-282.45
-785.0,-489.0,544.99,-300.0,733.0,1766.99,922.0,1042.99,198.0,-285.45
-785.0,-489.0,544.99,-300.0,733.0,1766.99,922.0,1041.99,197.0,-285.45
-785.0,-489.0,476.0,-280.0,733.0,1698.0,942.0,968.0,212.0,-268.46
-544.0,-248.0,716.0,-44.0,733.0,1697.0,937.0,967.0,207.0,-301.45
-325.0,-23.0,935.0,170.0,739.0,1697.0,932.0,967.0,202.0,-306.45
-327.0,-32.0,925.97,168.0,732.0,1689.97,932.0,959.97,202.0,-311.44
-327.0,-32.0,925.97,158.0,732.0,1689.97,922.0,964.97,197.0,-321.44
-328.0,-33.0,917.95,152.0,732.0,1682.95,917.0,957.95,192.0,-326.45
-329.0,-86.0,909.93,146.0,680.0,1675.93,912.0,1225.93,462.0,-332.45
-354.0,-121.0,884.93,116.0,670.0,1675.93,907.0,1225.93,457.0,-337.45
-402.0,-122.0,871.91,100.0,577.0,1570.91,799.0,1410.91,639.0,-349.45
-403.0,-123.0,863.89,99.0,577.0,1563.89,799.0,1403.89,639.0,-351.45
-404.0,-125.0,855.87,98.0,576.0,1556.87,799.0,1396.87,639.0,-352.45
-654.0,-480.0,532.66,-114.0,519.0,1531.66,885.0,1298.66,652.0,-322.48
-655.0,-393.0,524.63,50.0,607.0,1524.63,1050.0,955.63,481.0,-164.0
-647.0,-305.0,525.61,58.0,687.0,1517.61,1050.0,948.61,481.0,-166.0
-769.0,-427.0,606.0,-64.0,687.0,1720.0,1050.0,1151.0,481.0,-494.68
-690.0,-50.0,685.0,15.0,985.0,1720.0,1050.0,1033.0,363.0,-501.69
-692.0,-346.0,726.0,13.0,691.0,1763.0,1050.0,1075.0,362.0,-674.7
-740.0,-1116.0,678.0,0.0,-31.0,1763.0,1085.0,1817.0,1139.0,-639.7
-459.0,-147.0,631.0,-47.0,907.0,1685.0,1007.0,1071.0,393.0,-641.72
-432.0,-307.0,619.7,30.0,720.0,1646.7,1057.0,1032.7,443.0,-551.18
-441.0,-201.0,617.7,29.0,712.0,1530.7,942.0,1031.7,443.0,-487.05
-443.0,-418.0,615.7,22.0,497.0,1530.7,937.0,1094.7,501.0,-492.05
-444.0,-124.0,614.7,21.0,792.0,1530.7,937.0,1094.7,501.0,-494.07
-406.0,-86.0,652.7,-51.0,792.0,1530.7,827.0,1094.7,391.0,-604.07
-397.0,-77.0,658.7,-42.0,792.0,1527.7,827.0,1021.7,321.0,-637.28
-396.0,-77.0,659.7,-46.0,791.0,1527.7,822.0,1021.7,316.0,-535.04
-328.0,-344.0,663.28,17.0,456.0,1463.28,817.0,1026.28,380.0,-542.02
-328.0,-344.0,663.28,-33.0,456.0,1463.28,767.0,1025.28,329.0,-592.02
-38.0,-59.0,934.0,252.0,451.0,1444.0,762.0,1006.0,324.0,-245.03
-20.0,-41.0,653.57,210.0,451.0,1145.57,702.0,708.57,265.0,-348.66
-20.0,-41.0,433.7,135.0,451.0,925.7,627.0,488.7,190.0,-143.0
-739.0,13.0,492.7,189.0,953.0,1432.7,1129.0,871.7,568.0,-148.0
-739.0,-53.0,490.68,59.0,887.0,1430.68,999.0,859.68,428.0,-379.85
